       -0.5181503E-03        0.3877823E+01        0.3877305E+01        0.3000000E+03
        0.9268980E-02        0.8196892E+01        0.8206161E+01        0.3139287E+03
        0.2076098E-01        0.9185191E+01        0.9205952E+01        0.3103030E+03
        0.2012990E-01        0.8860395E+01        0.8880525E+01        0.2980290E+03
       -0.1096917E-01        0.8801147E+01        0.8790178E+01        0.2825241E+03
        0.8528183E-01        0.9219486E+01        0.9304768E+01        0.2753849E+03
       -0.1179144E-01        0.1058358E+02        0.1057179E+02        0.3066581E+03
       -0.3026481E-02        0.1053590E+02        0.1053288E+02        0.3183942E+03
        0.2244150E-01        0.1097716E+02        0.1099961E+02        0.3122156E+03
        0.5108702E-01        0.1280144E+02        0.1285253E+02        0.3368564E+03
        0.3741893E+00        0.1306272E+02        0.1343691E+02        0.3239009E+03
