       -0.3070596E+02        0.2161579E-11       -0.3070596E+02
       -0.3070596E+02        0.5265134E-12       -0.3070596E+02
       -0.3070596E+02        0.1593129E-11       -0.3070596E+02
       -0.3070596E+02        0.1145171E-11       -0.3070596E+02
       -0.3070596E+02        0.1097920E-11       -0.3070596E+02
       -0.3070596E+02        0.1357376E-11       -0.3070596E+02
       -0.3070596E+02        0.9998280E-12       -0.3070596E+02
       -0.3070596E+02        0.1784845E-11       -0.3070596E+02
       -0.3070596E+02        0.6853256E-12       -0.3070596E+02
       -0.3070596E+02        0.2187848E-11       -0.3070596E+02
