       -0.1220232E+04        0.1397695E+01       -0.6860024E+01        0.1397695E+01       -0.1215421E+04        0.1587016E+01       -0.6860024E+01        0.1587016E+01       -0.1219859E+04
       -0.8193350E+03        0.1210151E+02        0.8248956E+01        0.1210151E+02       -0.8151268E+03       -0.1266673E+01        0.8248956E+01       -0.1266673E+01       -0.8306299E+03
       -0.4990623E+03       -0.1258654E+02        0.6926553E+01       -0.1258654E+02       -0.5101907E+03        0.1230750E+02        0.6926553E+01        0.1230750E+02       -0.4901659E+03
       -0.3024585E+03        0.1562355E+02       -0.2330273E+02        0.1562355E+02       -0.3159176E+03       -0.2323826E+02       -0.2330273E+02       -0.2323826E+02       -0.3021346E+03
       -0.1525754E+03        0.1006737E+02       -0.3870857E+01        0.1006737E+02       -0.1935858E+03       -0.7216580E+01       -0.3870857E+01       -0.7216580E+01       -0.1671063E+03
       -0.1427431E+03       -0.1473334E+02        0.5815185E+01       -0.1473334E+02       -0.1488473E+03        0.2226244E+02        0.5815185E+01        0.2226244E+02       -0.1628213E+03
       -0.1521337E+03       -0.1678720E+01       -0.1767202E+02       -0.1678720E+01       -0.1484173E+03        0.9156045E+01       -0.1767202E+02        0.9156045E+01       -0.1071778E+03
       -0.1852417E+03       -0.8189688E+00       -0.8646453E+01       -0.8189688E+00       -0.1998557E+03        0.2056946E+01       -0.8646453E+01        0.2056946E+01       -0.1759268E+03
       -0.1332338E+03       -0.3228193E+02        0.2133754E+02       -0.3228193E+02       -0.1119357E+03        0.3469030E+02        0.2133754E+02        0.3469030E+02       -0.1371291E+03
       -0.1531453E+03       -0.4168084E+02       -0.1945110E+02       -0.4168084E+02       -0.2035043E+03       -0.3037524E+01       -0.1945110E+02       -0.3037524E+01       -0.1591830E+03
