        10        0.171288288307E-01         0.403730367332E-02         0.189088507047E-01         0.445685885258E-02         0.184693821049E-02         0.435327511024E-03  
         5        0.252089646820E-01         0.891271493668E-02         0.277738974884E-01         0.981955562701E-02         0.262307290205E-02         0.927396318294E-03  


        20        0.467811482284E-01         0.758890434774E-02         0.481464419803E-01         0.781038424044E-02         0.193089716712E-02         0.313232882507E-03  
        10        0.676563019593E-01         0.159467433018E-01         0.696158807921E-01         0.164086204621E-01         0.272446019890E-02         0.642161427239E-03  
         5        0.995836131977E-01         0.352081240936E-01         0.102408052475E+00         0.362067141767E-01         0.383926080871E-02         0.135738367629E-02  


        30        0.840584087264E-01         0.110374098017E-01         0.859834831952E-01         0.112901844632E-01         0.231899436543E-02         0.304498877946E-03  
        15        0.120731381472E+00         0.228160864868E-01         0.123528597942E+00         0.233447107113E-01         0.318122898984E-02         0.601195769334E-03  
         7        0.159398407046E+00         0.460143566081E-01         0.162552772931E+00         0.469249436045E-01         0.373720857579E-02         0.107883918862E-02  


        40        0.127127410177E+00         0.143943446954E-01         0.125795484619E+00         0.142435338234E-01         0.310962590737E-02         0.352095799969E-03  
        20        0.181927861018E+00         0.295125961576E-01         0.180028669483E+00         0.292045066078E-01         0.437611385583E-02         0.709899408723E-03  
        10        0.263126516575E+00         0.620195147267E-01         0.260398898644E+00         0.613766090149E-01         0.612790085733E-02         0.144436008355E-02  
         5        0.387395942598E+00         0.136965149007E+00         0.383258166443E+00         0.135502224218E+00         0.885931755721E-02         0.313224176069E-02  


        50        0.173524136928E+00         0.175285848459E-01         0.169528171326E+00         0.171249313639E-01         0.499716621141E-02         0.504790016400E-03  
        25        0.247766735954E+00         0.357620479248E-01         0.242072595783E+00         0.349401695848E-01         0.704055372137E-02         0.101621639657E-02  
        12        0.337883028119E+00         0.720369036394E-01         0.331358167787E+00         0.706457987425E-01         0.835303914200E-02         0.178087392882E-02  
         6        0.494854362705E+00         0.156486689622E+00         0.485161031721E+00         0.153421389220E+00         0.121921285711E-01         0.385548958103E-02  


        60        0.219931566533E+00         0.202463417825E-01         0.212711976487E+00         0.195817246477E-01         0.790077213402E-02         0.727325028838E-03  
        30        0.313553137241E+00         0.411715439631E-01         0.303269783765E+00         0.398212735003E-01         0.112017726977E-01         0.147086481464E-02  
        15        0.450433317873E+00         0.851238958078E-01         0.435667974766E+00         0.823335082448E-01         0.160192926561E-01         0.302736175337E-02  
         7        0.603486767802E+00         0.174211623921E+00         0.585727069021E+00         0.169084840485E+00         0.197069802014E-01         0.568891516210E-02  


        70        0.260508536278E+00         0.221759592825E-01         0.250079353112E+00         0.212881682544E-01         0.109964806973E-01         0.936082600890E-03  
        35        0.370998406201E+00         0.449901651678E-01         0.356149880275E+00         0.431895169096E-01         0.156062656805E-01         0.189253770065E-02  
        17        0.517328391504E+00         0.914516034332E-01         0.496994870124E+00         0.878571107200E-01         0.214533162781E-01         0.379244635479E-02  
         8        0.705898381705E+00         0.188659278158E+00         0.680139555106E+00         0.181774942171E+00         0.273826916358E-01         0.731833217350E-02  
         4        0.105001340791E+01         0.428666178742E+00         0.101161943091E+01         0.412991903269E+00         0.402882938401E-01         0.164476270859E-01  


        80        0.286951385936E+00         0.228286265286E-01         0.273653639213E+00         0.217707146017E-01         0.138962171255E-01         0.110552367566E-02  
        40        0.408318485924E+00         0.462329644229E-01         0.389398007993E+00         0.440906421593E-01         0.197153198940E-01         0.223232039368E-02  
        20        0.584510377348E+00         0.948201040790E-01         0.557434337235E+00         0.904277903733E-01         0.281396824942E-01         0.456485928438E-02  
        10        0.846439404429E+00         0.199507680912E+00         0.807162872445E+00         0.190250113543E+00         0.407554363838E-01         0.960614847906E-02  
         5        0.125266711121E+01         0.442884704454E+00         0.119451441922E+01         0.422324623027E+00         0.599049316667E-01         0.211795917040E-01  


        90        0.290876631195E+00         0.218021252669E-01         0.273899666152E+00         0.205296479386E-01         0.188170718495E-01         0.141039916453E-02  
        45        0.413621970644E+00         0.440922502208E-01         0.389477616257E+00         0.415184533952E-01         0.267151140663E-01         0.284784072823E-02  
        22        0.594160370680E+00         0.916809356106E-01         0.561123738022E+00         0.865832725200E-01         0.357382125265E-01         0.551452591450E-02  
        11        0.858697372257E+00         0.192010569647E+00         0.810817308737E+00         0.181304261967E+00         0.516255301263E-01         0.115438194737E-01  
         5        0.125266711121E+01         0.442884704454E+00         0.119451441922E+01         0.422324623027E+00         0.599049316667E-01         0.211795917040E-01  


       100        0.271583382724E+00         0.193005905823E-01         0.252763689445E+00         0.179631332195E-01         0.245091371769E-01         0.174178853446E-02  
        50        0.385936129810E+00         0.389854363563E-01         0.359176386209E+00         0.362822940472E-01         0.348010003623E-01         0.351543190690E-02  
        25        0.550908138563E+00         0.795167405245E-01         0.512638771804E+00         0.739930332245E-01         0.496549452391E-01         0.716707400010E-02  
        12        0.823326524691E+00         0.175533804859E+00         0.768233813580E+00         0.163787999384E+00         0.658912544396E-01         0.140480626481E-01  
         6        0.120684563010E+01         0.381638097532E+00         0.112385731284E+01         0.355394887361E+00         0.956447015472E-01         0.302455103016E-01  


